iteration,cost
1192,110665253.65299584
1193,110652736.90120624
1194,110640228.70010997
1195,110627729.04385273
1196,110615237.92658445
1197,110602755.34245941
1198,110590281.28563595
1199,110577815.75027665
1200,110565358.73054828
1201,110552910.2206217
1202,110540470.21467203
1203,110528038.70687862
1204,110515615.69142479
1205,110503201.1624981
1206,110490795.11429034
1207,110478397.54099736
1208,110466008.43681908
1209,110453627.79595964
1210,110441255.61262737
1211,110428891.8810347
1212,110416536.59539793
1213,110404189.74993774
1214,110391851.33887883
1215,110379521.35645007
1216,110367199.7968843
1217,110354886.6544185
1218,110342581.92329374
1219,110330285.59775516
1220,110317997.67205207
1221,110305718.14043759
1222,110293446.99716918
1223,110281184.23650818
1224,110268929.85272016
1225,110256683.84007463
1226,110244446.19284503
1227,110232216.90530902
1228,110219995.97174826
1229,110207783.38644841
1230,110195579.14369915
1231,110183383.23779415
1232,110171195.66303119
1233,110159016.41371192
1234,110146845.4841422
1235,110134682.8686318
1236,110122528.56149426
1237,110110382.55704755
1238,110098244.84961319
1239,110086115.43351711
1240,110073994.30308886
1241,110061881.45266223
1242,110049776.87657467
1243,110037680.56916797
1244,110025592.52478758
1245,110013512.7377832
1246,110001441.20250817
1247,109989377.91331993
1248,109977322.86457996
1249,109965276.05065344
1250,109953237.46590985
1251,109941207.10472222
1252,109929184.96146776
1253,109917171.03052753
1254,109905165.30628648
1255,109893167.78313349
1256,109881178.45546141
1257,109869197.31766711
1258,109857224.3641509
1259,109845259.5893176
1260,109833302.98757552
1261,109821354.55333698
1262,109809414.28101827
1263,109797482.16503945
1264,109785558.1998245
1265,109773642.37980135
1266,109761734.69940175
1267,109749835.1530612
1268,109737943.73521933
1269,109726060.44031942
1270,109714185.26280865
1271,109702318.19713823
1272,109690459.23776303
1273,109678608.37914178
1274,109666765.61573711
1275,109654930.94201563
1276,109643104.35244744
1277,109631285.84150678
1278,109619475.4036716
1279,109607673.03342383
1280,109595878.72524904
1281,109584092.47363658
1282,109572314.27307986
1283,109560544.11807594
1284,109548782.0031256
1285,109537027.92273378
1286,109525281.87140879
1287,109513543.84366305
1288,109501813.83401267
1289,109490091.83697757
1290,109478377.84708136
1291,109466671.85885169
1292,109454973.86681968
1293,109443283.86552054
1294,109431601.84949294
1295,109419927.81327963
1296,109408261.75142696
1297,109396603.65848508
1298,109384953.52900785
1299,109373311.35755302
1300,109361677.13868202
1301,109350050.86696003
1302,109338432.53695597
1303,109326822.14324264
1304,109315219.68039632
1305,109303625.14299735
1306,109292038.52562957
1307,109280459.82288072
1308,109268889.02934203
1309,109257326.1396089
1310,109245771.14827992
1311,109234224.04995789
1312,109222684.83924894
1313,109211153.51076311
1314,109199630.05911428
1315,109188114.47891966
1316,109176606.76480068
1317,109165106.91138199
1318,109153614.91329224
1319,109142130.76516376
1320,109130654.46163233
1321,109119185.9973378
1322,109107725.36692333
1323,109096272.56503612
1324,109084827.58632684
1325,109073390.42544991
1326,109061961.07706332
1327,109050539.53582886
1328,109039125.7964121
1329,109027719.8534819
1330,109016321.70171125
1331,109004931.33577648
1332,108993548.7503577
1333,108982173.94013867
1334,108970806.89980681
1335,108959447.62405314
1336,108948096.10757248
1337,108936752.34506308
1338,108925416.33122699
1339,108914088.06076981
1340,108902767.5284009
1341,108891454.72883318
1342,108880149.65678315
1343,108868852.3069711
1344,108857562.67412072
1345,108846280.75295942
1346,108835006.5382184
1347,108823740.02463229
1348,108812481.20693935
1349,108801230.07988153
1350,108789986.63820438
1351,108778750.87665692
1352,108767522.78999195
1353,108756302.37296583
1354,108745089.62033845
1355,108733884.52687338
1356,108722687.08733772
1357,108711497.29650219
1358,108700315.14914116
1359,108689140.64003238
