step,alpha_1e-05,alpha_0.0001,alpha_0.001
386,776818689.2259232,125426951.01954393,4.847118018559521e+80
387,774376640.0420874,125383807.44241038,7.375302874606208e+80
388,771955229.8928084,125341035.96182252,1.1222151448323907e+81
389,769554216.5388896,125298630.53491388,1.7075459173714598e+81
390,767173360.7696875,125256585.2220347,2.598176538035779e+81
391,764812426.3647932,125214894.18496338,3.953346878771564e+81
392,762471180.0562032,125173551.68514901,6.015353966558541e+81
393,760149391.4909731,125132552.08198513,9.152873363400707e+81
394,757846833.1943449,125091889.83111325,1.392687633548837e+82
395,755563280.5333459,125051559.4827564,2.119092843997588e+82
396,753298511.6808497,125011555.68008201,3.224380236678767e+82
397,751052307.5800964,124971873.15759324,4.906169137484209e+82
398,748824451.9096612,124932506.73954858,7.465154181194242e+82
399,746614731.0488737,124893451.33840945,1.1358867863568687e+83
400,744422934.0436722,124854701.95331435,1.7283484843091728e+83
401,742248852.5728948,124816253.66858019,2.6298294153017003e+83
402,740092280.9150012,124778101.65223019,4.001509427278744e+83
403,737953015.9152124,124740241.15454653,6.088637385920988e+83
404,735830856.9530735,124702667.50664935,9.264380327212049e+83
405,733725605.9104275,124665376.11910008,1.4096543677522827e+84
406,731637067.1397915,124628362.48052934,2.14490917507602e+84
407,729565047.4331442,124591622.15628895,3.2636619830867344e+84
408,727509355.9911009,124555150.7871272,4.965939660110844e+84
409,725469804.3924845,124518944.08788764,7.556100121783468e+84
410,723446206.5642841,124482997.84623036,1.1497249857671814e+85
411,721438378.7519913,124447307.92137592,1.7494044832552374e+85
412,719446139.4903166,124411870.2428708,2.6618679109521054e+85
413,717469309.5742778,124376680.80937472,4.0502587269994706e+85
414,715507712.0306519,124341735.6874691,6.16281359722606e+85
415,713561172.0897938,124307031.01048625,9.377245749999565e+85
416,711629517.157809,124272562.9773592,1.4268278030583988e+86
417,709712576.7890838,124238327.85149105,2.1710400194860535e+86
418,707810182.6591594,124204321.95964508,3.3034222883145567e+86
419,705922168.5379535,124170541.69085304,5.026438350738788e+86
420,704048370.2633204,124136983.49534327,7.64815403200182e+86
421,702188625.7149475,124103643.88348718,1.1637317721926948e+87
422,700342774.7885811,124070519.42476441,1.7707170017028082e+87
423,698510659.3705817,124037606.74674562,2.694296722870776e+87
424,696692123.3128004,124004902.53409317,4.09960192616402e+87
425,694887012.4077721,123972403.52757964,6.2378934771149275e+87
426,693095174.3642294,123940106.52312247,9.491486181499114e+87
427,691316458.7829202,123908008.37083659,1.4442104576504425e+88
428,689550717.1327348,123876105.97410242,2.1974892088579866e+88
429,687797802.7271374,123844396.2886511,3.343666982514057e+88
430,686057570.7008933,123812876.32166484,5.0876740804405816e+88
431,684329877.9870918,123781543.13089366,7.741329409941651e+88
432,682614583.2944623,123750393.82378656,1.1779091994831142e+89
433,680911547.0849761,123719425.55663869,1.7922891647591176e+89
434,679220631.551733,123688635.53375313,2.7271206061745185e+89
435,677541700.5971265,123658021.00661673,4.1495462600875764e+89
436,675874619.8112869,123627579.27309106,6.31388803473582e+89
437,674219256.4507992,123597307.67661662,9.607118373067322e+89
438,672575479.4176873,123567203.60543177,1.4618048803899884e+90
439,670943159.2386657,123537264.49180432,2.224260621501779e+90
440,669322168.0446563,123507487.81127697,3.384401966864142e+90
441,667712379.5505611,123477871.0819261,5.149655828362517e+90
442,666113669.035293,123448411.86363263,7.835639918138768e+90
443,664525913.3220598,123419107.75736643,1.1922593465096245e+91
444,662948990.7588967,123389956.40448214,1.8141241356037313e+91
445,661382781.199447,123360955.48602864,2.760344373910442e+91
446,659827165.983984,123332102.72206871,4.200099052231226e+91
447,658282027.9206747,123303395.87101221,6.3908084133584996e+91
448,656747251.2670815,123274832.72895953,9.724159280138162e+91
449,655222721.7118945,123246411.1290572,1.4796136511907173e+92
450,653708326.3569008,123218128.94086404,2.2513581829758137e+92
451,652203953.6991768,123189984.06972912,3.425633214436212e+92
452,650709493.6135076,123161974.45617977,5.2123926830414246e+92
453,649224837.3350314,123134098.07532023,7.931099385576001e+92
454,647749877.4420992,123106352.93624142,1.2067843174697374e+93
455,646284507.8393552,123078737.08143988,1.8362251159523626e+93
456,644828623.7410294,123051248.58624774,2.793972897761675e+93
457,643382121.6544416,123023885.55827184,4.251267715275763e+93
458,641944899.3637156,122996646.13684297,6.468665892008106e+93
459,640516855.9136986,122969528.49247457,9.842626064708986e+93
460,639097891.5940825,122942530.82633041,1.4976393813966878e+94
461,637687907.9237293,122915651.36970225,2.2787858666624765e+94
462,636286807.6351926,122888888.38349567,3.467366771069962e+94
463,634894494.659435,122862240.15772535,5.275893843737304e+94
464,633510874.1107404,122835705.01101868,8.0277218097109e+94
465,632135852.2718152,122809281.29012889,1.221486242195832e+95
466,630769336.5790793,122782967.36945465,1.8585953465263723e+95
467,629411235.6081425,122756761.65057021,2.8280111087617715e+95
468,628061459.0594654,122730662.56176214,4.303059752208688e+95
